First Last,First,Last,Company,Domain
Bernard Fornas,Bernard,Fornas,Compagnie Financiere Richemont SA,www.richemont.com
Mirko Bressan,Mirko,Bressan,Bressan Design Studio,www.bressandesignstudio.com
Al Armstrong,Al,Armstrong,Armstrong Rockwell,www.bressandesignstudio.com
Erich Mosset,Erich,Mosset,"RONDA AG, Lausen/Switzerland",www.ronda.ch
Filippo Arnaboldi,Filippo,Arnaboldi,Frette,www.frette.com
Christoph Grainger Herr,Christoph,Herr,International Watch Company,www.iwc.com
Hans Peter Schenk,Hans,Schenk,Eta,www.eta.ch
Isabelle Chen,Isabelle,Chen,Cartier Boutique,www.cartier.com
Arie Lourie,Arie,Lourie,Bareket Fine Jewelry,www.bareketjewelry.com
Sophie Hersan,Sophie,Hersan,Vestiaire Collective SA,www.vestiairecollective.com
Lydia Wilson,Lydia,Wilson,Marlowe & Company Jewellers,www.marlowejewellers.com
Christopher Turnier,Christopher,Turnier,Maison Pierre Hardy SAS,www.pierrehardy.com
Phillip Kozycz,Phillip,Kozycz,"Ak Jewelers, Inc.",www.myakjewelers.com
Yann Patry,Yann,Patry,Jitrois.,www.jitrois.com
Ray Simpson,Ray,Simpson,"Simpson Galleries, LLC",www.simpsongalleries.com
Jacques Bungert,Jacques,Bungert,Courreges Design SAS,www.courreges.com
Molly Cobb Fallon,Molly,Fallon,Jewelers of America,www.jewelers.org
Dion Smith,Dion,Smith,All Jewelry Contracting,www.ajcjewelry.com
Ellen Caldwell,Ellen,Caldwell,Caldwell Collection,www.caldwellcollection.com
Nicola Andreatta,,,Manufacture Roger Dubius SA,www.rogerdubuis.com
